"address","parcel","sample_date","excavation_date","remediation_status","address_omaha"
"1002 S 27 ST","2113900000",2005-04-28,"not remediated","not remediated","1002 S 27 ST Omaha, NE"
"2851 BINNEY ST","2114110000",2006-01-04,"not remediated","not remediated","2851 BINNEY ST Omaha, NE"
"3635 HAMILTON ST","2114720000",2006-10-18,"not remediated","not remediated","3635 HAMILTON ST Omaha, NE"
"1506 ELLISON AV","2115280000",2004-01-27,"not remediated","not remediated","1506 ELLISON AV Omaha, NE"
"617 S 51 AV","2117390000",2004-11-17,"not remediated","not remediated","617 S 51 AV Omaha, NE"
"2910 S 17 ST","2118450000",2003-07-17,"not remediated","not remediated","2910 S 17 ST Omaha, NE"
"423 VALLEY ST","2119030000",2003-10-15,"2010-06-07","remediated","423 VALLEY ST Omaha, NE"
"3956 N 36 AV","1031570000",2003-08-25,"not remediated","not remediated","3956 N 36 AV Omaha, NE"
"3740 N 36 AV","1031760000",2004-08-18,"not remediated","not remediated","3740 N 36 AV Omaha, NE"
"3757 N 37 ST","1031980000",2019-05-06,"not remediated","not remediated","3757 N 37 ST Omaha, NE"
"3940 N 37 ST","1032160000",1999-03-26,"not remediated","not remediated","3940 N 37 ST Omaha, NE"
"3702 N 37 ST","1032390000",2003-08-21,"not remediated","not remediated","3702 N 37 ST Omaha, NE"
"3935 N 38 ST","1032600000",2006-07-26,"not remediated","not remediated","3935 N 38 ST Omaha, NE"
"3722 N 38 ST","1032910000",2004-06-04,"not remediated","not remediated","3722 N 38 ST Omaha, NE"
"4025 N 39 ST","1033250000",2005-05-10,"not remediated","not remediated","4025 N 39 ST Omaha, NE"
"3719 N 40 ST","1033600000",2003-07-31,"not remediated","not remediated","3719 N 40 ST Omaha, NE"
"4022 PRATT ST","1034090000",2004-06-11,"not remediated","not remediated","4022 PRATT ST Omaha, NE"
"3715 N 42 ST","1035220000",2005-10-18,"not remediated","not remediated","3715 N 42 ST Omaha, NE"
"3927 N 42 ST","1035400000",2004-01-22,"not remediated","not remediated","3927 N 42 ST Omaha, NE"
"2311 N 28 AV","1035560000",2006-05-26,"2011-02-22","remediated","2311 N 28 AV Omaha, NE"
"2409 N 29 ST","1035810002",2003-07-17,"2011-10-27","remediated","2409 N 29 ST Omaha, NE"
"2217 N 28 AV","1036040000",2007-09-19,"2011-02-16","remediated","2217 N 28 AV Omaha, NE"
"817 S 36 ST","1038270000",2014-03-27,"2015-05-05","remediated","817 S 36 ST Omaha, NE"
"3507 WALNUT ST","1038510000",2014-03-24,"not remediated","not remediated","3507 WALNUT ST Omaha, NE"
"3537 PINE ST","1038760000",2003-10-14,"not remediated","not remediated","3537 PINE ST Omaha, NE"
"3325 HICKORY ST","1039000000",2004-07-26,"not remediated","not remediated","3325 HICKORY ST Omaha, NE"
"1520 M ST","1139460000",2007-09-27,"not remediated","not remediated","1520 M ST Omaha, NE"
"2623 SPENCER ST","1141590050",2006-09-06,"not remediated","not remediated","2623 SPENCER ST Omaha, NE"
"2512 BINNEY ST","1142520000",2009-07-07,"2021-06-11","remediated","2512 BINNEY ST Omaha, NE"
"2872 BINNEY ST","1143270000",2003-08-18,"not remediated","not remediated","2872 BINNEY ST Omaha, NE"
"2916 N 28 CR","1143740000",2004-09-17,"not remediated","not remediated","2916 N 28 CR Omaha, NE"
"2415 BINNEY ST","1144240000",1999-05-11,"not remediated","not remediated","2415 BINNEY ST Omaha, NE"
"2417 FORT ST","1144370000",2009-04-29,"not remediated","not remediated","2417 FORT ST Omaha, NE"
"2408 CAMDEN AV","1144570000",2006-11-21,"2007-12-31","remediated","2408 CAMDEN AV Omaha, NE"
"7802 N 36 ST","1144800000",2004-01-21,"not remediated","not remediated","7802 N 36 ST Omaha, NE"
"3476 RUGGLES ST","0941340000",2005-05-31,"not remediated","not remediated","3476 RUGGLES ST Omaha, NE"
"3348 SPAULDING ST","0941880000",2004-06-17,"not remediated","not remediated","3348 SPAULDING ST Omaha, NE"
"3826 N 34 AV","0942730000",2004-06-10,"not remediated","not remediated","3826 N 34 AV Omaha, NE"
"5101 LAFAYETTE AV","0944910000",2005-10-11,"not remediated","not remediated","5101 LAFAYETTE AV Omaha, NE"
"5124 IZARD ST","0945480000",2008-12-02,"not remediated","not remediated","5124 IZARD ST Omaha, NE"
"1238 S 12 ST","1521070152",2014-03-28,"2015-06-10","remediated","1238 S 12 ST Omaha, NE"
"5106 CALIFORNIA ST","0946590000",2008-07-15,"2010-06-15","remediated","5106 CALIFORNIA ST Omaha, NE"
"5659 EMILE ST","1011350000",2011-08-01,"2011-10-05","remediated","5659 EMILE ST Omaha, NE"
"4219 S 19 ST","0418800000",2003-08-18,"not remediated","not remediated","4219 S 19 ST Omaha, NE"
"5119 WEBSTER ST","0946290000",2004-11-18,"not remediated","not remediated","5119 WEBSTER ST Omaha, NE"
"5108 CALIFORNIA ST","0946580000",2008-06-20,"2012-07-02","remediated","5108 CALIFORNIA ST Omaha, NE"
"5127 CHICAGO ST","0947020000",2008-06-24,"not remediated","not remediated","5127 CHICAGO ST Omaha, NE"
"1018 S 35 ST","0934060000",2004-08-24,"not remediated","not remediated","1018 S 35 ST Omaha, NE"
"2210 S 15 ST","2133920000",2008-12-16,"2010-04-12","remediated","2210 S 15 ST Omaha, NE"
"5341 N 29 ST","1018030002",2004-01-17,"not remediated","not remediated","5341 N 29 ST Omaha, NE"
"5375 N 30 ST","1018470000",2006-11-21,"2010-10-05","remediated","5375 N 30 ST Omaha, NE"
"3203 S 40 ST","1701250000",2004-08-19,"not remediated","not remediated","3203 S 40 ST Omaha, NE"
"4224 FORT ST","1417340000",2003-11-24,"not remediated","not remediated","4224 FORT ST Omaha, NE"
"3459 S 16 ST","1824820000",2003-08-01,"not remediated","not remediated","3459 S 16 ST Omaha, NE"
"1424 PASADENA AV","1825020000",2004-09-30,"not remediated","not remediated","1424 PASADENA AV Omaha, NE"
"1633 N 53 ST","1825450000",2009-06-30,"2010-07-09","remediated","1633 N 53 ST Omaha, NE"
"520 WILLIAM ST","0901270002",2003-07-31,"not remediated","not remediated","520 WILLIAM ST Omaha, NE"
"415 WILLIAM ST","0901610000",2002-10-14,"not remediated","not remediated","415 WILLIAM ST Omaha, NE"
"117 S 53 ST","1025320000",2008-10-06,"not remediated","not remediated","117 S 53 ST Omaha, NE"
"3021 STONE AV","0916800000",2013-05-14,"not remediated","not remediated","3021 STONE AV Omaha, NE"
"1541 WILLIS AV","0917060000",2003-10-22,"2005-08-01","remediated","1541 WILLIS AV Omaha, NE"
"2413 WIRT ST","0917490000",2003-09-21,"2012-05-21","remediated","2413 WIRT ST Omaha, NE"
"1616 SPRING ST","0917810000",2004-09-21,"not remediated","not remediated","1616 SPRING ST Omaha, NE"
"3120 S 18 ST","0918250000",2003-06-26,"not remediated","not remediated","3120 S 18 ST Omaha, NE"
"3137 S 18 ST","0918600000",2004-09-21,"2012-09-11","remediated","3137 S 18 ST Omaha, NE"
"3420 S 15 ST","0919210000",2004-08-09,"not remediated","not remediated","3420 S 15 ST Omaha, NE"
"3110 S 19 ST","0919720052",2004-08-18,"2012-07-31","remediated","3110 S 19 ST Omaha, NE"
"2502 BURDETTE ST","2001490000",1999-04-25,"not remediated","not remediated","2502 BURDETTE ST Omaha, NE"
"2633 GRANT ST","2001650000",2004-10-11,"2013-08-22","remediated","2633 GRANT ST Omaha, NE"
"2524 GRANT ST","2002160000",2005-12-02,"not remediated","not remediated","2524 GRANT ST Omaha, NE"
"2628 LIZZIE ROBINSON AV","2002600000",1999-04-26,"not remediated","not remediated","2628 LIZZIE ROBINSON AV Omaha, NE"
"2612 CORBY ST","2002970000",2004-12-22,"not remediated","not remediated","2612 CORBY ST Omaha, NE"
"2425 MAPLE ST","2003270000",2003-11-07,"2007-09-04","remediated","2425 MAPLE ST Omaha, NE"
"2426 OHIO ST","2003640000",2004-10-12,"not remediated","not remediated","2426 OHIO ST Omaha, NE"
"5013 N 22 ST","2004920000",2004-10-20,"2011-10-26","remediated","5013 N 22 ST Omaha, NE"
"3821 PATTERSON ST","2005720000",2004-07-28,"not remediated","not remediated","3821 PATTERSON ST Omaha, NE"
"3504 S 24 ST","2008700000",1999-08-06,"2000-12-31","remediated","3504 S 24 ST Omaha, NE"
"5971 S 14 ST","2009490000",2006-06-28,"not remediated","not remediated","5971 S 14 ST Omaha, NE"
"1424 Y ST","2009770002",2004-01-20,"not remediated","not remediated","1424 Y ST Omaha, NE"
"1523 W ST","2009940002",2008-08-25,"2010-06-29","remediated","1523 W ST Omaha, NE"
"1538 Y ST","2010220000",2004-12-10,"2012-09-17","remediated","1538 Y ST Omaha, NE"
"2730 S 41 ST","2010400000",2003-10-20,"not remediated","not remediated","2730 S 41 ST Omaha, NE"
"2423 S 10 ST","2011240000",2004-09-08,"not remediated","not remediated","2423 S 10 ST Omaha, NE"
"3916 FLORENCE BD","2013070000",2005-06-06,"2007-08-18","remediated","3916 FLORENCE BD Omaha, NE"
"3931 N 21 ST","2013200000",2004-07-15,"2005-09-23","remediated","3931 N 21 ST Omaha, NE"
"3925 N 22 ST","2013370000",2003-11-10,"2007-06-06","remediated","3925 N 22 ST Omaha, NE"
"3902 N 22 ST","2013510000",1999-10-09,"2013-07-15","remediated","3902 N 22 ST Omaha, NE"
"3924 N 23 ST","2013670002",2005-07-08,"2009-09-30","remediated","3924 N 23 ST Omaha, NE"
"3826 N 23 ST","2013860002",2009-06-02,"2015-10-06","remediated","3826 N 23 ST Omaha, NE"
"2303 MANDERSON ST","2015040000",2005-11-16,"2006-06-20","remediated","2303 MANDERSON ST Omaha, NE"
"3612 N 42 ST","2015270000",2004-08-27,"not remediated","not remediated","3612 N 42 ST Omaha, NE"
"1921 - 1923 N 31 ST","1308512500",2004-04-29,"not remediated","not remediated","1921 - 1923 N 31 ST Omaha, NE"
"1912 N 29 AV","1308512560",2004-04-28,"not remediated","not remediated","1912 N 29 AV Omaha, NE"
"2520 OHIO ST","2015960000",2006-07-20,"2012-08-07","remediated","2520 OHIO ST Omaha, NE"
"4165 CUMING ST","2016140000",2003-12-08,"2006-09-14","remediated","4165 CUMING ST Omaha, NE"
"811 N 43 ST","2016530000",2004-07-15,"not remediated","not remediated","811 N 43 ST Omaha, NE"
"816 N 43 ST","2016710000",2003-07-30,"2011-08-09","remediated","816 N 43 ST Omaha, NE"
"4308 CALIFORNIA ST","2016880000",2003-07-23,"not remediated","not remediated","4308 CALIFORNIA ST Omaha, NE"
"639 N 43 ST","2017140000",2004-08-12,"not remediated","not remediated","639 N 43 ST Omaha, NE"
"619 N 42 ST","2017330000",2003-07-29,"2003-10-29","remediated","619 N 42 ST Omaha, NE"
"613 N 41 ST","2017680000",2006-05-12,"not remediated","not remediated","613 N 41 ST Omaha, NE"
"510 N 41 AV","2018030000",2003-08-19,"2010-09-29","remediated","510 N 41 AV Omaha, NE"
"4324 CASS ST","2018370000",2005-06-28,"2007-10-20","remediated","4324 CASS ST Omaha, NE"
"4415 CASS ST","2018710000",2014-06-03,"not remediated","not remediated","4415 CASS ST Omaha, NE"
"3724 SEWARD ST","1922160000",2003-07-17,"2012-04-24","remediated","3724 SEWARD ST Omaha, NE"
"3806 SEWARD ST","1922320000",1999-09-12,"not remediated","not remediated","3806 SEWARD ST Omaha, NE"
"3877 FRANKLIN ST","1922500000",2004-05-13,"not remediated","not remediated","3877 FRANKLIN ST Omaha, NE"
"3811 FRANKLIN ST","1922670000",2003-08-18,"not remediated","not remediated","3811 FRANKLIN ST Omaha, NE"
"4035 FRANKLIN ST","1922840000",2006-04-19,"not remediated","not remediated","4035 FRANKLIN ST Omaha, NE"
"1704 N 38 ST","1923090000",2003-09-09,"not remediated","not remediated","1704 N 38 ST Omaha, NE"
"3865 DECATUR ST","1923310000",2003-09-17,"not remediated","not remediated","3865 DECATUR ST Omaha, NE"
"3715 DECATUR ST","1923630000",2005-05-04,"not remediated","not remediated","3715 DECATUR ST Omaha, NE"
"3874 DECATUR ST","1924120000",2004-08-19,"not remediated","not remediated","3874 DECATUR ST Omaha, NE"
"3876 PARKER ST","1924880000",2003-11-07,"not remediated","not remediated","3876 PARKER ST Omaha, NE"
"2410 S 31 ST","0904090000",2004-09-09,"2005-11-05","remediated","2410 S 31 ST Omaha, NE"
"4119 CHARLES ST","1925610000",2008-07-17,"not remediated","not remediated","4119 CHARLES ST Omaha, NE"
"3808 DECATUR ST","1925720150",2004-08-19,"not remediated","not remediated","3808 DECATUR ST Omaha, NE"
"4207 D ST","1925750000",2004-07-01,"not remediated","not remediated","4207 D ST Omaha, NE"
"4222 E ST","1925910004",2008-08-29,"not remediated","not remediated","4222 E ST Omaha, NE"
"4247 E ST","1926060000",2006-08-17,"not remediated","not remediated","4247 E ST Omaha, NE"
"4246 F ST","1926190000",2009-05-29,"not remediated","not remediated","4246 F ST Omaha, NE"
"4954 S 41 AV","1926580000",2003-12-22,"not remediated","not remediated","4954 S 41 AV Omaha, NE"
"5037 S 41 AV","1926750000",2004-01-07,"not remediated","not remediated","5037 S 41 AV Omaha, NE"
"5022 S 41 AV","1926910002",2003-12-16,"not remediated","not remediated","5022 S 41 AV Omaha, NE"
"6815 S 33 ST","1927140000",2005-11-08,"not remediated","not remediated","6815 S 33 ST Omaha, NE"
"3208 HARRISON ST","1927330002",2008-07-29,"not remediated","not remediated","3208 HARRISON ST Omaha, NE"
"3252 POLK ST","1927700000",2004-01-13,"not remediated","not remediated","3252 POLK ST Omaha, NE"
"3217 MONROE ST","1927850000",2005-09-15,"not remediated","not remediated","3217 MONROE ST Omaha, NE"
"3207 MADISON ST","1928190000",2005-08-19,"not remediated","not remediated","3207 MADISON ST Omaha, NE"
"3202 MADISON ST","1928550000",2004-11-18,"not remediated","not remediated","3202 MADISON ST Omaha, NE"
"6715 S 32 ST","1928870000",2008-08-27,"not remediated","not remediated","6715 S 32 ST Omaha, NE"
"2407 S 14 ST","1929290002",2003-11-05,"not remediated","not remediated","2407 S 14 ST Omaha, NE"
"1511 BURDETTE ST","1934780000",2006-10-23,"2010-10-20","remediated","1511 BURDETTE ST Omaha, NE"
"1809 FORT ST","1935450002",2010-10-19,"not remediated","not remediated","1809 FORT ST Omaha, NE"
"1209 BLAINE ST","1937530000",1999-11-09,"not remediated","not remediated","1209 BLAINE ST Omaha, NE"
"3904 GOLD ST","1215350002",2004-08-10,"not remediated","not remediated","3904 GOLD ST Omaha, NE"
"2619 BROWNE ST","1934170000",1999-10-22,"not remediated","not remediated","2619 BROWNE ST Omaha, NE"
"1917 CAMDEN AV","1935860004",2011-05-13,"not remediated","not remediated","1917 CAMDEN AV Omaha, NE"
"1214 BLAINE ST","1937200000",2003-11-10,"2010-10-18","remediated","1214 BLAINE ST Omaha, NE"
"3328 WALNUT ST","1039080000",2004-09-29,"not remediated","not remediated","3328 WALNUT ST Omaha, NE"
"3021 V ST","1425770000",2006-08-31,"not remediated","not remediated","3021 V ST Omaha, NE"
"5743 N 33 AV","1620590000",2012-07-26,"not remediated","not remediated","5743 N 33 AV Omaha, NE"
"849 S 21 ST","1623280000",2005-10-28,"not remediated","not remediated","849 S 21 ST Omaha, NE"
"3009 S 42 ST","1218140000",2008-09-03,"not remediated","not remediated","3009 S 42 ST Omaha, NE"
"1801 S 33 ST","1220460000",2014-06-05,"2015-06-22","remediated","1801 S 33 ST Omaha, NE"
"3510 PINE ST","1221240000",2004-08-25,"not remediated","not remediated","3510 PINE ST Omaha, NE"
"2877 CAMDEN AV","1222010000",2010-12-02,"not remediated","not remediated","2877 CAMDEN AV Omaha, NE"
"3346 N 37 ST","1436250000",2008-05-29,"not remediated","not remediated","3346 N 37 ST Omaha, NE"
"3411 BURT ST","1939150000",2008-09-18,"2004-07-20","remediated","3411 BURT ST Omaha, NE"
"3854 CALIFORNIA ST","1940160000",2008-12-12,"not remediated","not remediated","3854 CALIFORNIA ST Omaha, NE"
"3133 WILLIT ST","1108280000",2004-04-28,"not remediated","not remediated","3133 WILLIT ST Omaha, NE"
"5121 DAVENPORT ST","0947160000",2008-08-07,"not remediated","not remediated","5121 DAVENPORT ST Omaha, NE"
"5024 CAPITOL AV","0947840000",2005-01-17,"2007-07-18","remediated","5024 CAPITOL AV Omaha, NE"
"4313 S 13 ST","1741280000",2004-09-03,"2011-11-09","remediated","4313 S 13 ST Omaha, NE"
"2216 MIAMI ST","0920710000",2004-08-18,"2007-07-28","remediated","2216 MIAMI ST Omaha, NE"
"3818 MARCY ST","0923380000",2004-07-20,"2010-10-01","remediated","3818 MARCY ST Omaha, NE"
"3015 CALIFORNIA ST","1941440000",2005-12-15,"2007-12-31","remediated","3015 CALIFORNIA ST Omaha, NE"
"2837 S 35 ST","1942230000",2003-10-23,"not remediated","not remediated","2837 S 35 ST Omaha, NE"
"3080 S 32 ST","1942760000",2003-10-15,"not remediated","not remediated","3080 S 32 ST Omaha, NE"
"3714 S 23 ST","1943550000",2006-09-29,"not remediated","not remediated","3714 S 23 ST Omaha, NE"
"4131 SPENCER ST","2518510000",2004-01-16,"not remediated","not remediated","4131 SPENCER ST Omaha, NE"
"3618 E ST","0423630000",2008-08-12,"not remediated","not remediated","3618 E ST Omaha, NE"
"4026 S 36 ST","0424920000",2003-06-26,"not remediated","not remediated","4026 S 36 ST Omaha, NE"
"4001 BAUMAN AV","1124110000",2003-12-18,"not remediated","not remediated","4001 BAUMAN AV Omaha, NE"
"4034 NEWPORT AV","1124740000",2003-12-15,"not remediated","not remediated","4034 NEWPORT AV Omaha, NE"
"4475 PRATT ST","1127200000",2008-01-17,"not remediated","not remediated","4475 PRATT ST Omaha, NE"
"3747 N 44 AV","1127770000",2003-10-12,"2005-10-08","remediated","3747 N 44 AV Omaha, NE"
"4324 SPAULDING ST","1128720000",2008-01-03,"not remediated","not remediated","4324 SPAULDING ST Omaha, NE"
"2315 HARNEY ST","2245240600",2003-10-06,"2005-12-31","remediated","2315 HARNEY ST Omaha, NE"
"3112 N 45 ST","2414340000",2008-11-03,"not remediated","not remediated","3112 N 45 ST Omaha, NE"
"816 S 19 ST","1532680000",2009-07-02,"2010-04-27","remediated","816 S 19 ST Omaha, NE"
"3676 IDA ST","0239210000",2005-12-21,"not remediated","not remediated","3676 IDA ST Omaha, NE"
"1609 N 33 ST","2028530000",2003-11-18,"2004-10-01","remediated","1609 N 33 ST Omaha, NE"
"3837 CUMING ST","2206590002",2003-07-01,"2005-06-17","remediated","3837 CUMING ST Omaha, NE"
"2908 FRANKLIN ST","2212490000",2003-08-05,"not remediated","not remediated","2908 FRANKLIN ST Omaha, NE"
"3317 N 39 ST","1436900000",2008-07-23,"not remediated","not remediated","3317 N 39 ST Omaha, NE"
"4016 N 43 ST","1129450000",2008-07-08,"not remediated","not remediated","4016 N 43 ST Omaha, NE"
"4624 LARIMORE AV","1130810000",2024-10-22,"not remediated","not remediated","4624 LARIMORE AV Omaha, NE"
"5815 FLORENCE BD","1132080001",2004-01-16,"2020-09-14","remediated","5815 FLORENCE BD Omaha, NE"
"1409 S 11 ST","1133370000",2008-06-10,"not remediated","not remediated","1409 S 11 ST Omaha, NE"
"1309 S 10 ST","1134260000",2005-01-12,"2008-11-19","remediated","1309 S 10 ST Omaha, NE"
"1143 LEAVENWORTH ST","2140000304",2015-06-11,"not remediated","not remediated","1143 LEAVENWORTH ST Omaha, NE"
"4732 N 37 ST","1800420000",2003-12-18,"not remediated","not remediated","4732 N 37 ST Omaha, NE"
"1414 ARCHER AV","2327590000",2003-12-11,"not remediated","not remediated","1414 ARCHER AV Omaha, NE"
"3873 DEWEY AV","2520100000",2015-07-09,"not remediated","not remediated","3873 DEWEY AV Omaha, NE"
"913 S 37 ST","2521170000",2004-08-06,"not remediated","not remediated","913 S 37 ST Omaha, NE"
"4118 S 37 ST","0426190000",2003-10-24,"not remediated","not remediated","4118 S 37 ST Omaha, NE"
"830 FOREST AV","1134620000",2003-09-05,"2005-12-31","remediated","830 FOREST AV Omaha, NE"
"3504 REDMAN AV","1136240000",2003-12-09,"not remediated","not remediated","3504 REDMAN AV Omaha, NE"
"3716 R ST","1138310000",2004-10-27,"not remediated","not remediated","3716 R ST Omaha, NE"
"2439 PRATT ST","2100250000",2006-11-30,"2009-08-28","remediated","2439 PRATT ST Omaha, NE"
"3514 N 24 ST","2100860000",2005-08-26,"not remediated","not remediated","3514 N 24 ST Omaha, NE"
"1037 S 24 ST","2105000002",2005-11-15,"2006-09-07","remediated","1037 S 24 ST Omaha, NE"
"3413 N 28 AV","2106410000",2006-06-08,"not remediated","not remediated","3413 N 28 AV Omaha, NE"
"116 N 40 ST","1444820000",2003-08-07,"2005-12-31","remediated","116 N 40 ST Omaha, NE"
"121 N 42 ST","1445090000",2003-07-30,"not remediated","not remediated","121 N 42 ST Omaha, NE"
"132 N 43 ST","1445340000",2008-08-18,"not remediated","not remediated","132 N 43 ST Omaha, NE"
"201 N 44 ST","1445550000",2003-07-17,"2010-08-09","remediated","201 N 44 ST Omaha, NE"
"1714 MANDERSON ST","1512230000",2003-08-20,"2008-08-29","remediated","1714 MANDERSON ST Omaha, NE"
"414 VALLEY ST","2119120000",2003-12-10,"not remediated","not remediated","414 VALLEY ST Omaha, NE"
"1624 PRATT ST","1513190000",2003-11-17,"not remediated","not remediated","1624 PRATT ST Omaha, NE"
"3332 BLONDO ST","1639230000",2004-05-25,"2010-08-21","remediated","3332 BLONDO ST Omaha, NE"
"3512 PARKER ST","1639500001",2004-08-05,"not remediated","not remediated","3512 PARKER ST Omaha, NE"
"3406 PARKER ST","1639680000",2005-09-27,"2010-09-10","remediated","3406 PARKER ST Omaha, NE"
"1810 N 34 ST","1640120000",2004-08-25,"not remediated","not remediated","1810 N 34 ST Omaha, NE"
"3418 FRANKLIN ST","1640600000",2004-05-19,"2011-07-27","remediated","3418 FRANKLIN ST Omaha, NE"
"1609 N 34 ST","1640950000",2004-08-23,"2011-10-03","remediated","1609 N 34 ST Omaha, NE"
"3510 SEWARD ST","1641350000",2003-07-22,"2008-12-06","remediated","3510 SEWARD ST Omaha, NE"
"3325 SEWARD ST","1641820000",2004-08-13,"2008-07-21","remediated","3325 SEWARD ST Omaha, NE"
"3321 GRAND AV","1800690000",2004-01-29,"2005-06-08","remediated","3321 GRAND AV Omaha, NE"
"4814 N 34 AV","1800900000",2004-01-29,"2011-07-21","remediated","4814 N 34 AV Omaha, NE"
"3460 LARIMORE AV","1801110000",2009-06-10,"not remediated","not remediated","3460 LARIMORE AV Omaha, NE"
"3341 LARIMORE AV","1801300000",2004-01-13,"2012-06-19","remediated","3341 LARIMORE AV Omaha, NE"
"3325 FOWLER AV","1801510000",1999-10-06,"not remediated","not remediated","3325 FOWLER AV Omaha, NE"
"3342 AMES AV","1802010000",2005-05-10,"2007-12-31","remediated","3342 AMES AV Omaha, NE"
"3505 MEREDITH CR","1802072554",2003-12-19,"not remediated","not remediated","3505 MEREDITH CR Omaha, NE"
"3236 LAFAYETTE AV","1802320000",2004-08-26,"2023-09-08","remediated","3236 LAFAYETTE AV Omaha, NE"
"3233 LAFAYETTE AV","1802810000",2004-08-18,"2005-04-23","remediated","3233 LAFAYETTE AV Omaha, NE"
"5555 MAYBERRY ST","1323990000",2004-05-25,"not remediated","not remediated","5555 MAYBERRY ST Omaha, NE"
"1718 HOLMES ST","1324843010",2012-08-01,"2015-05-12","remediated","1718 HOLMES ST Omaha, NE"
"5602 N 36 ST","1325170000",2004-01-24,"not remediated","not remediated","5602 N 36 ST Omaha, NE"
"3539 JEFFERSON ST","1326770000",2008-12-22,"not remediated","not remediated","3539 JEFFERSON ST Omaha, NE"
"824 N 47 ST","1514770000",2006-05-25,"2011-11-18","remediated","824 N 47 ST Omaha, NE"
"701 PIERCE ST","1514940000",2005-09-22,"2007-06-28","remediated","701 PIERCE ST Omaha, NE"
"1409 PARK WILD AV","1515290000",2014-05-06,"2015-05-12","remediated","1409 PARK WILD AV Omaha, NE"
"908 HICKORY ST","1516100000",2004-10-08,"not remediated","not remediated","908 HICKORY ST Omaha, NE"
"908 FRANCES ST","1516650000",2002-10-16,"2011-05-14","remediated","908 FRANCES ST Omaha, NE"
"6323 N 39 ST","1313380000",2003-11-18,"not remediated","not remediated","6323 N 39 ST Omaha, NE"
"1234 S 12 ST","1517640000",2004-08-03,"not remediated","not remediated","1234 S 12 ST Omaha, NE"
"3424 DECATUR ST","1642360025",2006-05-10,"not remediated","not remediated","3424 DECATUR ST Omaha, NE"
"3719 CUMING ST","1642890000",2017-11-14,"not remediated","not remediated","3719 CUMING ST Omaha, NE"
"1710 N 32 ST","1643400000",2004-10-15,"2011-08-09","remediated","1710 N 32 ST Omaha, NE"
"1803 N 32 ST","1643710000",2003-06-25,"not remediated","not remediated","1803 N 32 ST Omaha, NE"
"2428 TEMPLETON ST","1644090002",2005-10-19,"2012-06-25","remediated","2428 TEMPLETON ST Omaha, NE"
"2522 S 35 AV","1644850000",2008-07-18,"not remediated","not remediated","2522 S 35 AV Omaha, NE"
"2612 S 37 ST","1645250000",2004-08-05,"not remediated","not remediated","2612 S 37 ST Omaha, NE"
"4018 SPRING CR","1700060000",2003-11-03,"not remediated","not remediated","4018 SPRING CR Omaha, NE"
"2210 S 43 ST","0516330000",2003-10-30,"not remediated","not remediated","2210 S 43 ST Omaha, NE"
"3547 MADISON ST","1327390000",2005-08-04,"not remediated","not remediated","3547 MADISON ST Omaha, NE"
"3339 MONROE ST","1327860002",2009-05-29,"not remediated","not remediated","3339 MONROE ST Omaha, NE"
"3538 DREXEL ST","1328090000",2006-07-20,"not remediated","not remediated","3538 DREXEL ST Omaha, NE"
"6726 S 33 ST","1328350000",2004-01-19,"not remediated","not remediated","6726 S 33 ST Omaha, NE"
"3344 POLK ST","1328780000",2014-04-30,"not remediated","not remediated","3344 POLK ST Omaha, NE"
"3551 POLK ST","1329180000",2004-10-21,"not remediated","not remediated","3551 POLK ST Omaha, NE"
"1241 S 15 ST","1518460000",2012-06-27,"2012-08-27","remediated","1241 S 15 ST Omaha, NE"
"1247 S 16 ST","1518720000",2006-07-07,"2007-10-27","remediated","1247 S 16 ST Omaha, NE"
"1405 WILLIAM ST","1518940000",2004-09-13,"2010-04-22","remediated","1405 WILLIAM ST Omaha, NE"
"1318 HICKORY ST","1519330000",2003-07-31,"2008-12-11","remediated","1318 HICKORY ST Omaha, NE"
"1444 S 15 ST","1520110000",2004-08-10,"2010-10-07","remediated","1444 S 15 ST Omaha, NE"
"1718 S 14 ST","1520590000",2005-07-06,"not remediated","not remediated","1718 S 14 ST Omaha, NE"
"1417 S 15 ST","1521070000",2007-09-19,"2008-08-06","remediated","1417 S 15 ST Omaha, NE"
"4063 VALLEY CR","1700380000",2003-11-04,"not remediated","not remediated","4063 VALLEY CR Omaha, NE"
"3210 S 40 ST","1700560000",2005-01-10,"not remediated","not remediated","3210 S 40 ST Omaha, NE"
"3856 VINTON ST","1700930000",2004-12-13,"not remediated","not remediated","3856 VINTON ST Omaha, NE"
"3808 VINTON ST","1701130000",2004-01-22,"not remediated","not remediated","3808 VINTON ST Omaha, NE"
"3244 S 39 ST","1701370000",2008-06-02,"not remediated","not remediated","3244 S 39 ST Omaha, NE"
"3219 S 40 ST","1701680000",2013-05-08,"not remediated","not remediated","3219 S 40 ST Omaha, NE"
"3816 KRUG AV","1702060000",2003-11-06,"not remediated","not remediated","3816 KRUG AV Omaha, NE"
"3628 FREDERICK ST","1702470000",2003-10-29,"not remediated","not remediated","3628 FREDERICK ST Omaha, NE"
"3632 OAK ST","1702900000",2004-08-09,"not remediated","not remediated","3632 OAK ST Omaha, NE"
"1803 LOCUST ST","2203341000",2004-09-03,"2007-08-14","remediated","1803 LOCUST ST Omaha, NE"
"5508 S 32 ST","1232050000",2009-05-18,"2009-11-10","remediated","5508 S 32 ST Omaha, NE"
